method,direction_id,alpha,distinct_1_micro,distinct_2_micro,distinct_3_micro
baseline,1722,0.0,0.3315508021390374,0.7608695652173914,0.9154696132596685
baseline,1722,0.25,0.3265753424657534,0.7420612813370474,0.8974504249291785
baseline,1722,0.5,0.167276529012023,0.43228890069038767,0.609282245008095
baseline,1722,1.0,0.0595446584938704,0.19132501485442663,0.31276467029643074
baseline,1722,1.5,0.03671830177854274,0.13776999416228838,0.2768865121806298
baseline,11663,0.0,0.3315508021390374,0.7608695652173914,0.9154696132596685
baseline,11663,0.25,0.3460732984293194,0.7952127659574468,0.9372972972972973
baseline,11663,0.5,0.30042462845010615,0.7184466019417476,0.9046052631578947
baseline,11663,1.0,0.1320254506892895,0.5495689655172413,0.8274917853231106
baseline,11663,1.5,0.06458333333333334,0.4201058201058201,0.806989247311828
baseline,29000,0.0,0.3315508021390374,0.7608695652173914,0.9154696132596685
baseline,29000,0.25,0.33623503808487487,0.7334070796460177,0.8841394825646794
baseline,29000,0.5,0.2749572162007986,0.6192687173534532,0.7867690490253987
baseline,29000,1.0,0.21,0.636734693877551,0.8895833333333333
baseline,29000,1.5,0.15365853658536585,0.5177215189873418,0.7789473684210526
baseline,22398,0.0,0.3315508021390374,0.7608695652173914,0.9154696132596685
baseline,22398,0.25,0.3390625,0.7798941798941799,0.9387096774193548
baseline,22398,0.5,0.2265625,0.6232804232804233,0.8516129032258064
baseline,22398,1.0,0.14375,0.45291005291005293,0.7322580645161291
baseline,22398,1.5,0.10885101704233095,0.42649524874231415,0.7669130187606594
