method,direction_id,alpha,distinct_1_micro,distinct_2_micro,distinct_3_micro
structured,1722,0.0,0.3245989304812834,0.7809782608695652,0.93646408839779
structured,1722,0.25,0.303421200224341,0.7204791785510554,0.8804410911201392
structured,1722,0.5,0.228125,0.6116402116402117,0.806989247311828
structured,1722,1.0,0.11428571428571428,0.3655913978494624,0.580327868852459
structured,11663,0.0,0.3245989304812834,0.7809782608695652,0.93646408839779
structured,11663,0.25,0.346072186836518,0.7950377562028047,0.9369517543859649
structured,11663,0.5,0.3153252480705623,0.7488789237668162,0.9253135689851767
structured,11663,1.0,0.2126777251184834,0.6809408926417371,0.9312039312039312
structured,29000,0.0,0.3245989304812834,0.7809782608695652,0.93646408839779
structured,29000,0.25,0.34291799787007454,0.7456709956709957,0.9048404840484049
structured,29000,0.5,0.271461716937355,0.6393152302243211,0.8155048076923077
structured,29000,1.0,0.26837416481069043,0.6831797235023042,0.8687350835322196
structured,22398,0.0,0.3245989304812834,0.7809782608695652,0.93646408839779
structured,22398,0.25,0.3177083333333333,0.7619047619047619,0.9327956989247311
structured,22398,0.5,0.2546875,0.6878306878306878,0.8978494623655914
structured,22398,1.0,0.17760416666666667,0.5883597883597883,0.8618279569892473
